Specification,Keyword,RGB hex value
CSS Color Module Level 4,sienna,#a0522d
CSS Color Module Level 4,skyblue,#87ceeb
CSS Color Module Level 4,slateblue,#6a5acd
CSS Color Module Level 4,slategray,#708090
CSS Color Module Level 4,slategrey,#708090
CSS Color Module Level 4,snow,#fffafa
CSS Color Module Level 4,springgreen,#00ff7f
CSS Color Module Level 4,steelblue,#4682b4
CSS Color Module Level 4,tan,#d2b48c
CSS Color Module Level 4,thistle,#d8bfd8
CSS Color Module Level 4,tomato,#ff6347
CSS Color Module Level 4,turquoise,#40e0d0
CSS Color Module Level 4,violet,#ee82ee
CSS Color Module Level 4,wheat,#f5deb3
CSS Color Module Level 4,whitesmoke,#f5f5f5
CSS Color Module Level 4,yellowgreen,#9acd32
CSS Color Module Level 4,rebeccapurple,#663399
